name,cuisine,opens,closes,days open,price,rating,unit,location,description
Esther's German Saloon,german,11:30:00,22:30:00,"Mo,Tu,We,Th,Fr,Sa",3,3,0,22 Teutonic Ave.,"German home-cooked meals and fifty-eight different beers on tap. To get more authentic, you'd need to be wearing lederhosen."
Robatayaki Hachi,japanese,17:30:00,23:30:00,"Mo,Tu,We,Th,Fr,Sa,Su",4,5,0,8 Hawthorne Ln.,"Japanese food the way you like it. Fast, fresh, grilled."
BBQ Tofu Paradise,vegetarian,16:30:00,20:00:00,"Mo,We,Fr,Sa,Su",2,1,0,22A King West,"Vegetarians, we have your BBQ needs covered. Our home-made tofu skewers and secret BBQ sauce will have you licking your fingers."
Le Bateau Rouge,french,17:00:00,23:30:00,"Mo,Tu,We,Th,Fr,Sa,Su",5,4,0,2 South Park Dr.,"Fine French dining in a romantic setting. From soupe à l'oignon to coq au vin, let our chef delight you with a local take on authentic favorites."
Khartoum Khartoum,african,11:00:00,14:00:00,"Mo,Tu,We,Th,Fr",3,2,0,1566 Maple Rd.,"African homestyle cuisine, cooked fresh daily."
Sally's Diner,american,8:30:00,20:00:00,"Mo,Tu,We,Th,Fr,Sa,Su",4,3,0,96 College Blvd.,"Food like mom cooked, if you grew up in Iowa and mom ran a diner. Try our blue plate special!"
Saucy Piggy,barbecue,15:00:00,22:00:00,"Tu,We,Th,Fr,Sa,Su",3,2,0,623 Industrial Rd.,"Pork. We know how to cook it. Award-winning BBQ sauce, and meat with all the trimmings."
Czech Point,czech/slovak,10:30:00,21:30:00,"Mo,Tu,We,Th,Fr,Sa",1,4,0,5567 Queen-Mary Rd,Make a point of trying our knedlíky and homemade soups. We have free wifi and the best desserts and coffee. 
Der Speisewagen,german,17:00:00,22:30:00,"Mo,Tu,We,Th,Fr,Sa,Su",3,5,0,402 College Blvd.,Award-winning schnitzel and other favorites. Look for our restored food truck in the NE corner of the College St lot.
Beijing Express,chinese,11:00:00,22:30:00,"Mo,We,Fr,Sa,Su",2,4,0,38 Teutonic Ave.,"Fast, healthy, Chinese food. Family specials for takeout or delivery. Try our Peking Duck!"
Satay Village,thai,17:30:00,22:00:00,"Mo,Tu,We,Th,Fr,Sa,Su",4,2,0,12 High St.,Fine dining Thai-style. Wide selection of vegetarian entrées. We also deliver.
Cancun,mexican,11:30:00,23:00:00,"Mo,Tu,We,Th,Fr",3,3,0,2030 Maple Rd.,"Tacos, tortas, burritos, just the way you like them. Our hot sauce and guacamole are the best in town."
Curry Up,indian,17:00:00,22:00:00,"Mo,Tu,We,Th,Fr,Sa,Su",4,5,0,455 University,Indian food with a modern twist. We use all-natural ingredients and the finest spices to delight and tempt your palate.
Carthage,african,17:00:00,22:30:00,"Tu,We,Th,Fr,Sa,Su",2,1,0,59 Court Terrace,Wholesome food and all the rich flavor of Africa. Try our famous lentil soup.
Burgerama,american,11:00:00,23:00:00,"Mo,Tu,We,Th,Fr,Sa",5,4,0,456 University,"Grade A beef, freshly ground every day, hand-cut fries, and home-made milkshakes. We make the best burgers in town. "
Three Little Pigs,barbecue,11:30:00,22:30:00,"Mo,Tu,We,Th,Fr,Sa,Su",3,2,0,12 Summer Court,Genuine East Texas barbecue. Accept no substitutes! 
Little Prague,czech/slovak,11:00:00,22:00:00,"Mo,We,Fr,Sa,Su",4,3,0,44 Park Ave,We're famous for our housemade sausage and desserts. Come taste real European cooking.
Kohl Haus,german,17:00:00,22:30:00,"Mo,Tu,We,Th,Fr,Sa,Su",3,2,0,3421 Queen-Mary Rd,"East German specialties, in a family-friendly setting. Come warm up with our delicious soups."
Dragon's Tail,chinese,17:00:00,2:00:00,"Mo,Tu,We,Th,Fr",1,4,0,8 Jasmine Rd.,Take-out or dine-in Chinese food. Open late. Delivery available
Hit Me Baby One More Thai,thai,15:00:00,22:00:00,"Mo,Tu,We,Th,Fr,Sa,Su",3,5,0,12 Jasmine Rd.,"Thai food with a youthful bar scene. Try our tropical inspired cocktails, or tuck into a plate of our famous pad thai."
The Whole Tamale,mexican,10:30:00,21:30:00,"Tu,We,Th,Fr,Sa,Su",2,4,0,401 University,The tamale and hot sauce experts. Tamale special changes daily.
Birmingham Bhangra,indian,17:00:00,22:30:00,"Mo,Tu,We,Th,Fr,Sa",4,2,0,992 Riddick St.,"Curry with a metropolitan twist. Daily specials. Dine-in or takeaway, you choose."
Taqueria,mexican,11:00:00,22:30:00,"Mo,Tu,We,Th,Fr,Sa,Su",3,3,0,12 North Circle Dr.,Taqueria y panaderia. Birria served on weekends.
Pedro's,mexican,17:30:00,22:00:00,"Mo,We,Fr,Sa,Su",4,5,0,5521 Alameda,Pedro's has been an Alameda staple for thirty years. Our list of fine tequilas and slow-cooked carnitas will make you a regular.
Super Wonton Express,chinese,11:30:00,23:00:00,"Mo,Tu,We,Th,Fr,Sa,Su",2,1,0,223 Milliways Ave,"Soups, stir-fries, and more. We cook fast."
Naan Sequitur,indian,17:00:00,22:00:00,"Mo,Tu,We,Th,Fr",5,4,12,6 Olde Towne Mall,"Naan and tandoori specialties, from our clay oven. "
